Staff_num,Cleanliness_num,Location_num,Facilities_num,Comfort_num,Value for money_num,overall_num,review_date_parsed
7.5,7.5,7.5,7.5,7.5,7.5,8,2022-08-13 00:00:11
7.5,5.0,7.5,7.5,5.0,10.0,6,2022-08-22 19:50:12
10.0,7.5,7.5,7.5,7.5,7.5,7,2022-08-25 19:23:21
10.0,10.0,7.5,10.0,7.5,7.5,8,2022-08-30 00:09:25
7.5,7.5,7.5,7.5,7.5,7.5,6,2022-09-02 04:26:22
5.0,7.5,5.0,7.5,7.5,7.5,6,2022-09-05 03:25:10
5.0,5.0,7.5,5.0,5.0,5.0,4,2022-09-09 17:59:35
7.5,7.5,7.5,7.5,7.5,7.5,10,2022-10-16 14:05:34
7.5,10.0,7.5,10.0,10.0,7.5,8,2022-10-20 16:16:30
10.0,10.0,10.0,10.0,10.0,10.0,10,2022-10-22 22:16:29
10.0,10.0,10.0,10.0,10.0,10.0,10,2022-11-02 02:17:39
10.0,10.0,10.0,10.0,10.0,10.0,9,2022-11-18 14:02:42
7.5,5.0,,5.0,5.0,5.0,7,2022-11-19 14:11:32
7.5,7.5,7.5,5.0,5.0,7.5,7,2022-11-24 15:00:20
10.0,10.0,10.0,10.0,10.0,10.0,10,2022-12-19 23:47:25
7.5,7.5,7.5,7.5,7.5,7.5,8,2023-01-11 20:33:33
2.5,2.5,0.0,2.5,2.5,2.5,1,2023-01-25 23:45:22
7.5,7.5,7.5,7.5,7.5,7.5,8,2023-02-20 14:02:34
2.5,2.5,7.5,2.5,5.0,5.0,3,2023-02-23 07:33:10
5.0,5.0,7.5,5.0,5.0,5.0,5,2023-02-26 20:05:17
5.0,7.5,5.0,5.0,5.0,5.0,6,2023-02-27 22:33:32
7.5,7.5,7.5,7.5,7.5,7.5,7,2023-03-05 03:11:48
5.0,5.0,2.5,5.0,7.5,5.0,5,2023-04-01 17:44:24
10.0,7.5,7.5,7.5,7.5,7.5,7,2023-04-02 23:54:17
7.5,7.5,7.5,7.5,7.5,7.5,9,2023-04-09 03:49:12
10.0,10.0,10.0,10.0,7.5,7.5,10,2023-04-10 04:14:05
2.5,2.5,2.5,2.5,2.5,2.5,7,2023-04-15 07:04:21
7.5,7.5,7.5,7.5,7.5,7.5,8,2023-04-25 15:51:00
10.0,10.0,7.5,10.0,10.0,7.5,9,2023-04-25 21:10:17
10.0,10.0,10.0,10.0,10.0,10.0,10,2023-05-08 05:24:01
10.0,10.0,10.0,10.0,10.0,10.0,10,2023-05-24 11:46:26
7.5,5.0,7.5,5.0,7.5,2.5,1,2023-05-30 06:05:52
0.0,0.0,0.0,0.0,0.0,0.0,10,2023-06-26 00:02:05
5.0,7.5,7.5,5.0,7.5,10.0,6,2023-06-30 06:58:22
7.5,2.5,10.0,5.0,5.0,2.5,5,2023-07-06 02:48:04
2.5,10.0,10.0,10.0,10.0,10.0,7,2023-07-18 16:07:50
2.5,7.5,7.5,5.0,10.0,10.0,5,2023-08-03 15:51:25
10.0,10.0,10.0,10.0,10.0,10.0,10,2023-08-07 03:39:27
5.0,2.5,5.0,5.0,7.5,5.0,5,2023-09-04 03:10:32
